Symptoms,Diagnosis
"Chest Pain, Acute Is the affected person an infant or child? Does your child have a fever, a cough that produces mucus, and shortness of breath?","These symptoms may be caused by BRONCHITIS. A high fever along with a cough and shortness of breath could also be a sign of PNEUMONIA. If your child has BRONCHITIS, be sure he or she gets lots of rest and drinks plenty of fluids. PNEUMONIA is a serious infection.  If your child has a fever and a cough producing mucous, see your doctor right away. You can have your child take children’s acetaminophen and/or ibuprofen for fever. Do not give children 5 years and under cough or cold medicines."
"Chest Pain, Acute Is the affected person an infant or child? Does your child have a tight cough, wheezing, and shortness of breath?","These may be symptoms of BRONCHIOLITIS. ASTHMA can also cause wheezing, coughing, and trouble breathing. BRONCHIOLITIS is a serious infection. Asthma flare-ups can also be a serious problem. See your doctor right away to find out what’s causing your symptoms. Do not give children 5 years and under cough or cold medicines."
"Chest Pain, Acute Is the affected person an infant or child? Does your child have a dry cough and a sharp pain in the chest when he or she takes a deep breath?","These symptoms may be caused by PLEURISY, an inflammation of the lining around the lung. See your doctor. He or she can determine what is causing the PLEURISY. Often, an anti-inflammatory drug will help relieve symptoms. Do not give aspirin to your child. Do not give children 5 years and under cough or cold medicines."
"Chest Pain, Acute Is the affected person an infant or child? Does your child have sudden, sharp pain in one side of the chest with sudden shortness of breath?","In rare cases, air will leak from a lung to fill the chest cavity. This makes it difficult to breathe. This condition is called a PNEUMOTHORAX.See your doctor right away or go to the closest emergency room or call an ambulance. Treatment of a PNEUMOTHORAX may require hospitalization."
"Chest Pain, Acute Is the affected person an infant or child? Does your child have a high fever, a very sore throat, and trouble breathing and/or swallowing? They may also be sitting forward resting on one arm (“tripoding.”)",These may be signs of a serious condition called EPIGLOTTITIS. Get emergency medical help right away. Go to the closest emergency room or call an ambulance.
"Chest Pain, Acute Is the affected person an infant or child? Does your child have pain and tenderness in the front of the chest, along the border of the breastbone and ribs, and does it get worse when your child coughs or takes a deep breath?","This may be caused by COSTOCHONDRITIS, an inflammation of the rib joints in the chest. Heat and an anti-inflammatory medicine, such as ibuprofen, may help relieve symptoms. Do not give aspirin to your child. See your doctor if the pain is severe or if it doesn’t improve with these medicines."
"Chest Pain, Acute Do you have severe chest pain? ","These could be symptoms of HYPERVENTILATION, an episode of overbreathing often caused by stress or anxiety. It can also be caused by increased breathing when your body is not getting enough oxygen and you begin to breathe faster. If you have a heart condition, lung condition, ASTHMA, or if you are experiencing rapid breathing for the first time, go directly to the emergency room. If you have hyperventilated before due to stress or anxiety, your doctor may have given you information about treating yourself. Lie down, relax, and try to slow your breathing. Try breathing through pursed lips (as if you were whistling), or cover your mouth and one nostril, and breathe through the other nostril. Talk with your doctor about relaxation treatments, to include mindfulness and meditation."
"Chest Pain, Acute Do you have symptoms of a cold or the flu, such as fever, aches, chills, runny nose, and/or cough? ","Your symptoms may be from an infection, such as PNEUMONIA. PNEUMONIA can be a serious health problem. See your doctor right away or go to the closest emergency room if you are having trouble breathing."
"Chest Pain, Acute Do you have a cough that produces greenish, yellowish, or tan mucus, a fever, and shortness of breath? ","Your symptoms may be from an infection, such as PNEUMONIA. PNEUMONIA can be a serious health problem. See your doctor right away or go to the closest emergency room if you are having trouble breathing."
"Chest Pain, Acute Do you have a cough that produces a small amount of clear mucus, and does your chest hurt when you take a deep breath? ","You may have VIRAL BRONCHITIS. Your pain may also be caused by PLEURISY, an irritation of the lining of the lung that is usually caused by a viral infection. Hard coughing may also cause pain in the muscles and chest wall. Drink plenty of water, and try cough and cold medicines and/or anti-inflammatory medicines to relieve your symptoms. See your doctor if the cough continues for more than a few days or if you develop a fever."
